Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-12051.12	-12051.87	0.7467929	0.07241238	0.831668	0.831668	0.08463024	0.9153698	1e-06	0.0846302	1e-06	1e-06	0.91537	1e-06	0.0846302	0.91537
50	-6194.819	-6195.878	1.058352	0.05393813	0.704851	0.704851	0.03273466	0.9672653	1e-06	0.0327347	1e-06	1e-06	0.967265	1e-06	0.0327347	0.967265
100	-5207.132	-5208.101	0.9687185	0.05154573	0.818409	0.818409	0.03171976	0.9682802	1e-06	0.0317198	1e-06	1e-06	0.96828	1e-06	0.0317198	0.96828
150	-4248.95	-4249.666	0.7165438	0.0465589	1.12045	1.12045	0.02735418	0.9726458	1e-06	0.0273542	1e-06	1e-06	0.972646	1e-06	0.0273542	0.972646
200	-4113.589	-4114.501	0.9117207	0.04400042	0.95086	0.95086	0.02729707	0.9727029	1e-06	0.0272971	1e-06	1e-06	0.972703	1e-06	0.0272971	0.972703
250	-3370.049	-3370.673	0.6241285	0.03741562	1.3043	1.3043	0.02838345	0.9716166	1e-06	0.0283834	1e-06	1e-06	0.971617	1e-06	0.0283834	0.971617
300	-3583.646	-3585.099	1.453047	0.04122783	0.43726	0.43726	0.03643152	0.9635685	1e-06	0.0364315	1e-06	1e-06	0.963568	1e-06	0.0364315	0.963568
350	-2946.472	-2947.496	1.024547	0.03537931	0.924245	0.924245	0.02456868	0.9754313	1e-06	0.0245687	1e-06	1e-06	0.975431	1e-06	0.0245687	0.975431
400	-2388.68	-2389.959	1.279149	0.03320579	0.691378	0.691378	0.02081423	0.9791858	1e-06	0.0208142	1e-06	1e-06	0.979186	1e-06	0.0208142	0.979186
450	-2196.035	-2197.514	1.479095	0.03107301	0.51276	0.51276	0.0203308	0.9796692	1e-06	0.0203308	1e-06	1e-06	0.979669	1e-06	0.0203308	0.979669
500	-2641.442	-2641.964	0.5218497	0.0322236	1.4585	1.4585	0.02423143	0.9757686	1e-06	0.0242314	1e-06	1e-06	0.975769	1e-06	0.0242314	0.975769
550	-2403.279	-2404.222	0.9423914	0.03060765	1.05412	1.05412	0.02197258	0.9780274	1e-06	0.0219726	1e-06	1e-06	0.978027	1e-06	0.0219726	0.978027
600	-2493.738	-2494.654	0.9157617	0.02992582	1.08757	1.08757	0.03459731	0.9654027	1e-06	0.0345973	1e-06	1e-06	0.965403	1e-06	0.0345973	0.965403
650	-2368.083	-2368.572	0.4890506	0.0337845	1.47569	1.47569	0.01958861	0.9804114	1e-06	0.0195886	1e-06	1e-06	0.980411	1e-06	0.0195886	0.980411
700	-2242.003	-2242.525	0.5217278	0.03143066	1.46655	1.46655	0.01857689	0.9814231	1e-06	0.0185769	1e-06	1e-06	0.981423	1e-06	0.0185769	0.981423
750	-2512.421	-2513.172	0.7506669	0.03069939	1.24492	1.24492	0.02840383	0.9715962	1e-06	0.0284038	1e-06	1e-06	0.971596	1e-06	0.0284038	0.971596
