Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-12150.58	-12151.32	0.7467929	0.07241238	0.831668	0.831668	0.08463024	0.9153698	1e-06	0.0846302	1e-06	1e-06	0.91537	1e-06	0.0846302	0.91537
50	-6084.947	-6085.671	0.7242161	0.05121896	1.06618	1.06618	0.04209671	0.9579033	1e-06	0.0420967	1e-06	1e-06	0.957903	1e-06	0.0420967	0.957903
100	-4738.773	-4738.219	-0.553836	0.04970321	2.35939	2.35939	0.02994421	0.9700558	1e-06	0.0299442	1e-06	1e-06	0.970056	1e-06	0.0299442	0.970056
150	-3901.03	-3900.946	-0.08400892	0.04290121	1.95758	1.95758	0.02627686	0.9737231	1e-06	0.0262769	1e-06	1e-06	0.973723	1e-06	0.0262769	0.973723
200	-3328.881	-3327.497	-1.384188	0.04079287	3.27884	3.27884	0.02576712	0.9742329	1e-06	0.0257671	1e-06	1e-06	0.974233	1e-06	0.0257671	0.974233
250	-2950.449	-2948.874	-1.574608	0.03607252	3.51647	3.51647	0.03102671	0.9689733	1e-06	0.0310267	1e-06	1e-06	0.968973	1e-06	0.0310267	0.968973
300	-2545.708	-2543.603	-2.105147	0.0352642	4.05509	4.05509	0.0272795	0.9727205	1e-06	0.0272795	1e-06	1e-06	0.97272	1e-06	0.0272795	0.97272
350	-2583.781	-2583.24	-0.5409251	0.03295722	2.51394	2.51394	0.03306332	0.9669367	1e-06	0.0330633	1e-06	1e-06	0.966937	1e-06	0.0330633	0.966937
400	-2274.139	-2274.108	-0.03125445	0.03256247	2.00821	2.00821	0.02759005	0.9724099	1e-06	0.0275901	1e-06	1e-06	0.97241	1e-06	0.0275901	0.97241
450	-2139.698	-2140.09	0.3919146	0.02623079	1.64836	1.64836	0.03288361	0.9671164	1e-06	0.0328836	1e-06	1e-06	0.967116	1e-06	0.0328836	0.967116
500	-2039.875	-2039.449	-0.4263027	0.02868579	2.44203	2.44203	0.02889817	0.9711018	1e-06	0.0288982	1e-06	1e-06	0.971102	1e-06	0.0288982	0.971102
550	-1996.516	-1994.912	-1.603485	0.02932129	3.61286	3.61286	0.02548975	0.9745103	1e-06	0.0254897	1e-06	1e-06	0.97451	1e-06	0.0254897	0.97451
600	-1823.794	-1822.596	-1.197561	0.02500094	3.25014	3.25014	0.03001799	0.969982	1e-06	0.030018	1e-06	1e-06	0.969982	1e-06	0.030018	0.969982
650	-1992.666	-1991.684	-0.9813363	0.02831581	3.00076	3.00076	0.02936976	0.9706302	1e-06	0.0293698	1e-06	1e-06	0.97063	1e-06	0.0293698	0.97063
700	-1809.636	-1808.357	-1.278714	0.02749476	3.30635	3.30635	0.03017504	0.969825	1e-06	0.030175	1e-06	1e-06	0.969825	1e-06	0.030175	0.969825
750	-1757.479	-1758.7	1.221284	0.02399515	0.84135	0.84135	0.03104847	0.9689515	1e-06	0.0310485	1e-06	1e-06	0.968952	1e-06	0.0310485	0.968952
800	-2055.788	-2055.382	-0.406457	0.03323343	2.37671	2.37671	0.0265599	0.9734401	1e-06	0.0265599	1e-06	1e-06	0.97344	1e-06	0.0265599	0.97344
