name,age,original_module,module
Fabaceae,80,1,M1
Index_70,80,1,M1
Index_129,80,1,M1
Capparaceae,70,1,M2
Index_128,70,1,M2
Fabaceae,70,2,M1
Index_70,70,2,M1
Index_84,70,2,M1
Capparaceae,60,1,M2
Index_85,60,1,M2
Index_89,60,1,M2
Index_97,60,1,M2
Index_99,60,1,M2
Index_125,60,1,M2
Fabaceae,60,2,M1
Index_70,60,2,M1
Index_84,60,2,M1
Capparaceae,50,1,M2
Appias,50,1,M2
Leptosia,50,1,M2
Elodina,50,1,M2
Hebomoia,50,1,M2
Index_85,50,1,M2
Index_86,50,1,M2
Index_88,50,1,M2
Index_96,50,1,M2
Index_110,50,1,M2
Index_123,50,1,M2
Fabaceae,50,2,M1
Leptidea,50,2,M1
Index_69,50,2,M1
Index_75,50,2,M1
Index_83,50,2,M1
Capparaceae,40,1,M2
Appias,40,1,M2
Leptosia,40,1,M2
Elodina,40,1,M2
Hebomoia,40,1,M2
Colotis,40,1,M2
Teracolus,40,1,M2
Pinacopteryx,40,1,M2
Pareronia,40,1,M2
Nepheronia,40,1,M2
Index_87,40,1,M2
Index_100,40,1,M2
Index_101,40,1,M2
Index_123,40,1,M2
Fabaceae,40,2,M1
Gandaca,40,2,M1
Leptidea,40,2,M1
Index_69,40,2,M1
Index_74,40,2,M1
Index_82,40,2,M1
Loranthaceae,30,1,M4
Santalaceae,30,1,M4
Delias,30,1,M4
Index_106,30,1,M4
Tropaeolaceae,30,2,M3
Brassicaceae,30,2,M3
Pontia,30,2,M3
Index_95,30,2,M3
Index_116,30,2,M3
Index_117,30,2,M3
Index_121,30,2,M3
Capparaceae,30,3,M2
Prioneris,30,3,M2
Cepora,30,3,M2
Dixeia,30,3,M2
Belenois,30,3,M2
Appias,30,3,M2
Leptosia,30,3,M2
Elodina,30,3,M2
Hebomoia,30,3,M2
Eronia,30,3,M2
Ixias,30,3,M2
Colotis,30,3,M2
Teracolus,30,3,M2
Pinacopteryx,30,3,M2
Pareronia,30,3,M2
Nepheronia,30,3,M2
Fabaceae,30,4,M1
Dercas,30,4,M1
Pyrisitia,30,4,M1
Pseudopieris,30,4,M1
Leptidea,30,4,M1
Index_68,30,4,M1
Index_73,30,4,M1
Index_77,30,4,M1
Index_80,30,4,M1
Olacaceae,20,1,M5
Pseudopontia,20,1,M5
Loranthaceae,20,2,M4
Santalaceae,20,2,M4
Catasticta,20,2,M4
Pereute,20,2,M4
Melete,20,2,M4
Delias,20,2,M4
Mylothris,20,2,M4
Index_103,20,2,M4
Tropaeolaceae,20,3,M3
Brassicaceae,20,3,M3
Leptophobia,20,3,M3
Pieris,20,3,M3
Pontia,20,3,M3
Ascia,20,3,M3
Elphinstonia,20,3,M3
Index_94,20,3,M3
Index_114,20,3,M3
Capparaceae,20,4,M2
Ganyra,20,4,M2
Prioneris,20,4,M2
Cepora,20,4,M2
Dixeia,20,4,M2
Belenois,20,4,M2
Appias,20,4,M2
Leptosia,20,4,M2
Elodina,20,4,M2
Hebomoia,20,4,M2
Eronia,20,4,M2
Ixias,20,4,M2
Colotis,20,4,M2
Teracolus,20,4,M2
Pinacopteryx,20,4,M2
Pareronia,20,4,M2
Nepheronia,20,4,M2
Index_120,20,4,M2
Fabaceae,20,5,M1
Anteos,20,5,M1
Catopsilia,20,5,M1
Dercas,20,5,M1
Teriocolias,20,5,M1
Leucidia,20,5,M1
Eurema,20,5,M1
