name,age,original_module,module
Capparaceae,80,1,M2
Pseudopontia,80,1,M2
Index_129,80,1,M2
Fabaceae,80,2,M1
Index_70,80,2,M1
Capparaceae,70,1,M2
Index_128,70,1,M2
Fabaceae,70,2,M1
Pseudopontia,70,2,M1
Index_70,70,2,M1
Index_84,70,2,M1
Capparaceae,60,1,M2
Index_85,60,1,M2
Index_89,60,1,M2
Index_97,60,1,M2
Index_99,60,1,M2
Index_125,60,1,M2
Olacaceae,60,2,M1
Fabaceae,60,2,M1
Pseudopontia,60,2,M1
Index_70,60,2,M1
Index_84,60,2,M1
Olacaceae,50,1,M5
Pseudopontia,50,1,M5
Capparaceae,50,2,M2
Appias,50,2,M2
Leptosia,50,2,M2
Elodina,50,2,M2
Hebomoia,50,2,M2
Index_85,50,2,M2
Index_86,50,2,M2
Index_88,50,2,M2
Index_96,50,2,M2
Index_110,50,2,M2
Index_123,50,2,M2
Fabaceae,50,3,M1
Leptidea,50,3,M1
Index_69,50,3,M1
Index_75,50,3,M1
Index_83,50,3,M1
Fabaceae,40,1,M1
Rhamnaceae,40,1,M1
Gandaca,40,1,M1
Nathalis,40,1,M1
Kricogonia,40,1,M1
Leptidea,40,1,M1
Index_69,40,1,M1
Index_74,40,1,M1
Index_82,40,1,M1
Loranthaceae,40,2,M4
Santalaceae,40,2,M4
Index_108,40,2,M4
Capparaceae,40,3,M2
Appias,40,3,M2
Leptosia,40,3,M2
Elodina,40,3,M2
Hebomoia,40,3,M2
Colotis,40,3,M2
Teracolus,40,3,M2
Pinacopteryx,40,3,M2
Pareronia,40,3,M2
Nepheronia,40,3,M2
Index_87,40,3,M2
Index_100,40,3,M2
Index_101,40,3,M2
Olacaceae,40,4,M5
Pseudopontia,40,4,M5
Brassicaceae,40,5,M3
Index_92,40,5,M3
Index_95,40,5,M3
Index_123,40,5,M3
Capparaceae,30,1,M2
Prioneris,30,1,M2
Cepora,30,1,M2
Dixeia,30,1,M2
Belenois,30,1,M2
Appias,30,1,M2
Leptosia,30,1,M2
Elodina,30,1,M2
Hebomoia,30,1,M2
Eronia,30,1,M2
Ixias,30,1,M2
Colotis,30,1,M2
Teracolus,30,1,M2
Pinacopteryx,30,1,M2
Pareronia,30,1,M2
Nepheronia,30,1,M2
Tropaeolaceae,30,2,M3
Brassicaceae,30,2,M3
Pontia,30,2,M3
Index_92,30,2,M3
Index_95,30,2,M3
Index_116,30,2,M3
Index_117,30,2,M3
Index_121,30,2,M3
Olacaceae,30,3,M5
Pseudopontia,30,3,M5
Zygophyllaceae,30,4,M1
Fabaceae,30,4,M1
Rhamnaceae,30,4,M1
Dercas,30,4,M1
Gonepteryx,30,4,M1
Gandaca,30,4,M1
Pyrisitia,30,4,M1
Nathalis,30,4,M1
Kricogonia,30,4,M1
Pseudopieris,30,4,M1
Leptidea,30,4,M1
Index_68,30,4,M1
Index_73,30,4,M1
Index_77,30,4,M1
Index_80,30,4,M1
Loranthaceae,30,5,M4
Santalaceae,30,5,M4
Aporia,30,5,M4
Delias,30,5,M4
Mylothris,30,5,M4
Index_106,30,5,M4
Loranthaceae,20,1,M4
Santalaceae,20,1,M4
Catasticta,20,1,M4
Pereute,20,1,M4
Melete,20,1,M4
Delias,20,1,M4
Mylothris,20,1,M4
Index_91,20,1,M4
Index_103,20,1,M4
Capparaceae,20,2,M2
Cleomaceae,20,2,M2
Celastraceae,20,2,M2
Rhizophoraceae,20,2,M2
Prioneris,20,2,M2
Cepora,20,2,M2
Dixeia,20,2,M2
Belenois,20,2,M2
Appias,20,2,M2
Elodina,20,2,M2
Hebomoia,20,2,M2
Eronia,20,2,M2
Ixias,20,2,M2
Colotis,20,2,M2
Teracolus,20,2,M2
Pinacopteryx,20,2,M2
Pareronia,20,2,M2
Nepheronia,20,2,M2
Index_120,20,2,M2
Tropaeolaceae,20,3,M3
Resedaceae,20,3,M3
Brassicaceae,20,3,M3
Leptophobia,20,3,M3
Talbotia,20,3,M3
Pieris,20,3,M3
Pontia,20,3,M3
Ascia,20,3,M3
Ganyra,20,3,M3
Elphinstonia,20,3,M3
Index_94,20,3,M3
Index_114,20,3,M3
Caryophyllaceae,20,4,M7
Asteraceae,20,4,M7
Eroessa,20,4,M7
Nathalis,20,4,M7
Olacaceae,20,5,M5
Pseudopontia,20,5,M5
Zygophyllaceae,20,6,M1
Fabaceae,20,6,M1
Anteos,20,6,M1
Catopsilia,20,6,M1
Dercas,20,6,M1
Teriocolias,20,6,M1
Leucidia,20,6,M1
Eurema,20,6,M1
Pyrisitia,20,6,M1
Kricogonia,20,6,M1
Pseudopieris,20,6,M1
Leptidea,20,6,M1
Index_68,20,6,M1
Index_77,20,6,M1
Index_78,20,6,M1
Rhamnaceae,20,7,M8
