name,age,original_module,module
Olacaceae,80,1,T1
Santalaceae,80,1,T1
Index_70,80,1,T1
Capparaceae,80,2,M1
Fabaceae,80,2,M1
Pseudopontia,80,2,M1
Index_129,80,2,M1
Capparaceae,70,1,M2
Index_84,70,1,M2
Index_128,70,1,M2
Olacaceae,70,2,M1
Santalaceae,70,2,M1
Fabaceae,70,2,M1
Pseudopontia,70,2,M1
Index_70,70,2,M1
Olacaceae,60,1,T1
Santalaceae,60,1,T1
Pseudopontia,60,1,T1
Capparaceae,60,2,M2
Index_85,60,2,M2
Index_89,60,2,M2
Index_99,60,2,M2
Index_125,60,2,M2
Resedaceae,60,3,M3
Brassicaceae,60,3,M3
Index_97,60,3,M3
Fabaceae,60,4,M1
Index_70,60,4,M1
Index_84,60,4,M1
Capparaceae,50,1,M2
Celastraceae,50,1,M2
Rhizophoraceae,50,1,M2
Appias,50,1,M2
Leptosia,50,1,M2
Elodina,50,1,M2
Index_85,50,1,M2
Index_86,50,1,M2
Index_88,50,1,M2
Index_110,50,1,M2
Olacaceae,50,2,T1
Santalaceae,50,2,T1
Pseudopontia,50,2,T1
Tropaeolaceae,50,3,M3
Resedaceae,50,3,M3
Brassicaceae,50,3,M3
Hebomoia,50,3,M3
Index_96,50,3,M3
Index_123,50,3,M3
Fabaceae,50,4,M1
Rhamnaceae,50,4,M1
Leptidea,50,4,M1
Index_69,50,4,M1
Index_75,50,4,M1
Index_83,50,4,M1
Fabaceae,40,1,M1
Rhamnaceae,40,1,M1
Celastraceae,40,1,M1
Rhizophoraceae,40,1,M1
Pareronia,40,1,M1
Nepheronia,40,1,M1
Gandaca,40,1,M1
Nathalis,40,1,M1
Kricogonia,40,1,M1
Leptidea,40,1,M1
Index_69,40,1,M1
Index_74,40,1,M1
Index_82,40,1,M1
Capparaceae,40,2,M2
Cleomaceae,40,2,M2
Euphorbiaceae,40,2,M2
Appias,40,2,M2
Leptosia,40,2,M2
Elodina,40,2,M2
Colotis,40,2,M2
Teracolus,40,2,M2
Pinacopteryx,40,2,M2
Index_87,40,2,M2
Index_100,40,2,M2
Index_101,40,2,M2
Loranthaceae,40,3,M4
Santalaceae,40,3,M4
Index_108,40,3,M4
Olacaceae,40,4,T1
Pseudopontia,40,4,T1
Tropaeolaceae,40,5,M3
Resedaceae,40,5,M3
Brassicaceae,40,5,M3
Hebomoia,40,5,M3
Index_92,40,5,M3
Index_95,40,5,M3
Index_123,40,5,M3
Celastraceae,30,1,T2
Rhizophoraceae,30,1,T2
Nepheronia,30,1,T2
Olacaceae,30,2,M4
Loranthaceae,30,2,M4
Santalaceae,30,2,M4
Polygonaceae,30,2,M4
Ericaceae,30,2,M4
Aporia,30,2,M4
Delias,30,2,M4
Mylothris,30,2,M4
Pseudopontia,30,2,M4
Index_106,30,2,M4
Annonaceae,30,3,M1
Caryophyllaceae,30,3,M1
Asteraceae,30,3,M1
Simaroubaceae,30,3,M1
Zygophyllaceae,30,3,M1
Fabaceae,30,3,M1
Rhamnaceae,30,3,M1
Dercas,30,3,M1
Gonepteryx,30,3,M1
Gandaca,30,3,M1
Pyrisitia,30,3,M1
Nathalis,30,3,M1
Kricogonia,30,3,M1
Pseudopieris,30,3,M1
Leptidea,30,3,M1
Index_68,30,3,M1
Index_73,30,3,M1
Index_77,30,3,M1
Index_80,30,3,M1
Tropaeolaceae,30,4,M3
Resedaceae,30,4,M3
Brassicaceae,30,4,M3
Pontia,30,4,M3
Index_92,30,4,M3
Index_95,30,4,M3
Index_116,30,4,M3
Index_117,30,4,M3
Index_121,30,4,M3
Capparaceae,30,5,M2
Cleomaceae,30,5,M2
Euphorbiaceae,30,5,M2
Prioneris,30,5,M2
Cepora,30,5,M2
Dixeia,30,5,M2
Belenois,30,5,M2
Appias,30,5,M2
Leptosia,30,5,M2
Elodina,30,5,M2
Hebomoia,30,5,M2
Eronia,30,5,M2
Ixias,30,5,M2
Colotis,30,5,M2
Teracolus,30,5,M2
Pinacopteryx,30,5,M2
Pareronia,30,5,M2
Caryophyllaceae,20,1,M1
Sapindaceae,20,1,M1
Simaroubaceae,20,1,M1
Fabaceae,20,1,M1
Hypericaceae,20,1,M1
Salicaceae,20,1,M1
Anteos,20,1,M1
Catopsilia,20,1,M1
Dercas,20,1,M1
Teriocolias,20,1,M1
Leucidia,20,1,M1
Eurema,20,1,M1
Pyrisitia,20,1,M1
Nathalis,20,1,M1
Pseudopieris,20,1,M1
Leptidea,20,1,M1
Index_68,20,1,M1
Index_77,20,1,M1
Index_78,20,1,M1
Amaranthaceae,20,2,M3
Asteraceae,20,2,M3
Akaniaceae,20,2,M3
Tropaeolaceae,20,2,M3
Bataceae,20,2,M3
Resedaceae,20,2,M3
Brassicaceae,20,2,M3
Leptophobia,20,2,M3
Talbotia,20,2,M3
Pieris,20,2,M3
Pontia,20,2,M3
Ascia,20,2,M3
Ganyra,20,2,M3
Elphinstonia,20,2,M3
Eroessa,20,2,M3
Index_94,20,2,M3
Index_114,20,2,M3
Annonaceae,20,3,M8
Olacaceae,20,3,M8
Zygophyllaceae,20,3,M8
Rhamnaceae,20,3,M8
Gonepteryx,20,3,M8
Gandaca,20,3,M8
Kricogonia,20,3,M8
Pseudopontia,20,3,M8
Capparaceae,20,4,M2
Cleomaceae,20,4,M2
Celastraceae,20,4,M2
Rhizophoraceae,20,4,M2
Euphorbiaceae,20,4,M2
Prioneris,20,4,M2
Cepora,20,4,M2
Dixeia,20,4,M2
Belenois,20,4,M2
Appias,20,4,M2
