Node	Module
R4	1
C13	1
C48	7
R16	8
C47	8
R20	7
C6	7
C45	7
R21	7
C31	7
C32	7
C33	7
C46	7
C49	7
C50	7
C52	7
R22	7
C51	7
R23	7
R24	0
C8	0
R25	6
C61	6
R26	8
C21	4
R27	0
C30	0
C56	0
C57	6
R28	7
R29	0
R30	5
C16	5
R31	7
R32	5
C54	5
R33	4
C9	4
R34	7
C62	7
R35	6
C59	6
C63	6
R36	5
R37	6
C34	6
C36	6
C60	6
R38	3
C22	3
C23	3
C24	3
C25	3
C26	3
C27	3
C28	3
C29	3
C38	3
C39	1
C40	3
C41	3
C42	3
C43	3
C44	3
C53	3
C64	3
C65	3
C66	3
R39	6
R40	6
C35	6
C37	6
C55	6
C58	6
R41	2
C7	2
R42	4
C1	4
C2	4
C3	4
C4	4
C5	4
C10	4
C11	4
C12	4
C15	4
C17	4
C18	4
C19	4
C20	4
R43	8
R44	8
R45	1
C14	1
R46	3
R47	3
R48	4
R49	4
R50	3
